S1 Real/Imag g,S1  0-Z:0-Z,S2 Real/Imag g,S2 0-Z:0-Z
(0.0007270218738552459+0j),(0.00012193275245787328+0.0006894421302189328j),(0.0007270218738552459+0j),(-0.00048445193792026993-9.393739004091514e-05j)
(0.0007365879511428149+0j),(0.0002292135398037515-4.51084860323736e-05j),(0.0007365879511428149+0j),(-0.0005617698006175072+0.00014691477668211776j)
(0.000746154028430384+0j),(-0.00042086677055293845+0.000583039546086349j),(0.000746154028430384+0j),(-0.00023598814283605095-0.0004318797450003482j)
(0.0007557201057179529+0j),(0.00023622193191857467+0.00015560514208771807j),(0.0007557201057179529+0j),(-7.466402073795205e-05-0.00047739448810777703j)
(0.000765286183005522+0j),(-0.00031159452207996227-0.00023434294924083642j),(0.000765286183005522+0j),(0.0008515713736063189-0.0004814042122882049j)
(0.000774852260293091+0j),(0.0002880997133225971+0.0005892288070444231j),(0.000774852260293091+0j),(-0.0001986292524235813-0.00031656842283910106j)
(0.00078441833758066+0j),(-0.00032448004964989556+0.00040002266119747176j),(0.00078441833758066+0j),(5.673490450533431e-05+8.331822718677748e-05j)
(0.000793984414868229+0j),(0.00032514410995758023+0.0004675418975328532j),(0.000793984414868229+0j),(-3.688842579221689e-05+5.1303586334445866e-05j)
(0.0008035504921557981+0j),(8.004447872224902e-05-1.3168288950912249e-05j),(0.0008035504921557981+0j),(4.794024573797706e-05-3.330427130284582e-06j)
(0.0008131165694433671+0j),(3.99420357886649e-05+0.0007532581609421805j),(0.0008131165694433671+0j),(-0.00034501281940346366+0.00034180869822552864j)
(0.0008226826467309361+0j),(0.0005637310565971814+0.0006826694604020632j),(0.0008226826467309361+0j),(-0.000303538594263915+2.1788923790721923e-05j)
(0.0008322487240185051+0j),(-0.0002081676967525557-0.00014522291185446224j),(0.0008322487240185051+0j),(-0.0003726994800961005-0.001664620245011567j)
(0.0008418148013060742+0j),(0.0006029453156932424-0.00017792049454233184j),(0.0008418148013060742+0j),(-0.00022071304102926518-0.0003817418888341427j)
(0.0008513808785936433+0j),(-0.0001297045597711488+0.0005602064738865833j),(0.0008513808785936433+0j),(-8.581750333616609e-05-0.0004478032921424227j)
(0.0008609469558812122+0j),(0.0005184278999054391+0.0003770603620847058j),(0.0008609469558812122+0j),(-0.00015102023562869554-0.0002968858021054496j)
(0.0008705130331687813+0j),(-0.0002760129881178947+2.4593617942214735e-05j),(0.0008705130331687813+0j),(-2.773246748958738e-05-1.3547383330606359e-06j)
(0.0008800791104563503+0j),(1.7405941566477435e-05+0.0004869359807641416j),(0.0008800791104563503+0j),(-0.0001258186312496546+0.000426366274684697j)
(0.0008896451877439193+0j),(0.00046602322798449525+0.0009158285108207739j),(0.0008896451877439193+0j),(-0.0010241359006113535+0.001316674969897307j)
(0.0008992112650314883+0j),(-0.0003015959879733052+0.0007140045139583649j),(0.0008992112650314883+0j),(-0.0003786955493262578-0.0018509015145750864j)
(0.0009087773423190574+0j),(0.0003214530069233718-2.6592735344551884e-05j),(0.0009087773423190574+0j),(-0.000735109444012571-0.0009598935347948385j)
(0.0009183434196066264+0j),(9.364511606378279e-05+0.00045908068041120926j),(0.0009183434196066264+0j),(-0.0005347358381761788-0.0004888382564450872j)
